Data Komentar Balasan (Edge/Reply Nodes),,,,,,,,,,,,,
ID Unik,Jenis Konten,Tautan Konten,Username,Teks Konten,Sentimen,Jumlah Views,Jumlah Likes,Jumlah Komentar,Jumlah Shares,Tahun,Balasan ID Komentar,Platform,Lokasi
T152,Komentar Balasan,https://vt.tiktok.com/ZSPPPJd3F/,rehaaa🦋,@rehaaa🦋: niatnya istirahat 1 bulan eh kebablasan sampek 8 bulan jd pengangguran😌,,,2644,194,,2023,T26,TikTok,Indonesia
T153,Komentar Balasan,https://vt.tiktok.com/ZSPPPJd3F/,kidiipie445,@kidiipie444: lulusan 2022 belum dapet kerjaan sampe sekarang doain guys semoga tahun ini bisa cepet dapet kerja😞mental udah ga aman 😭😭,,,1523,228,,2023,T26,TikTok,Indonesia
T154,Komentar Balasan,https://vt.tiktok.com/ZSPPPJd3F/,Muhammad Albani672,@Muhammad Albani672: aku 2020 sampai skrang 🗿👍👍👍,,,64,6,,2023,T26,TikTok,Indonesia
T155,Komentar Balasan,https://vt.tiktok.com/ZSPP5t9L2/,yovan_,@yovan_: potret pemula interview 🤣🤣🤣,,,54900,113,,2023,T27,TikTok,Indonesia
T156,Komentar Balasan,https://vt.tiktok.com/ZSPP5t9L2/,Cakraisme🍃,@Cakraisme🍃: seharusnyaa bilang gini bng “ya saya pengen gaji yg tidak memberatkan bapak dan juga tidak merendahkan saya”,,,26900,419,,2023,T27,TikTok,Indonesia
T157,Komentar Balasan,https://vt.tiktok.com/ZSPP5t9L2/,Cakraisme🍃,"@clans: paling bingung tiap interview ""maaf disini harus ada pengalaman kerja"" terus gw harus kerja dimana",,,16800,267,,2023,T27,TikTok,Indonesia
T158,Komentar Balasan,https://vt.tiktok.com/ZSPP5t9L2/,kirei,@kirei: blg aja sesuai prosedur perusahaan,,,16000,78,,2023,T27,TikTok,Indonesia
T159,Komentar Balasan,https://vt.tiktok.com/ZSPPm1eEC/,ikky12_04,@ikky12_04: kadang betah kadang bosen nganggur njirr btw udh mau 2 thn nganggur🙂,,,206,18,,2023,T28,TikTok,Indonesia
T160,Komentar Balasan,https://vt.tiktok.com/ZSPPm1eEC/,shizukaitsy,@shizukaitsy: mau kerja tpi takutt😭,,,177,40,,2023,T28,TikTok,Indonesia
T161,Komentar Balasan,https://vt.tiktok.com/ZSPPm1eEC/,spidergirlllllllllll_,@spidergirlllllllllll_: nganggur 2 thn ga enakk wehhh kalo ga kerja disuruh kawin muluu😭😭😭,,,113,46,,2023,T28,TikTok,Indonesia
T162,Komentar Balasan,https://vt.tiktok.com/ZSPPm1eEC/,arielly,@arielly: 5tahunan coy sepuh🤘,,,73,23,,2023,T28,TikTok,Indonesia
T163,Komentar Balasan,https://vt.tiktok.com/ZSPPuthFT/,Tafaiz,@Tafaiz: ya gk sepenuhnya salah pengangguran juga salah satu faktor banyak pengangguran juga dari syarat2 loker itu sendiri,,,79,2,,2023,T29,TikTok,Indonesia
T164,Komentar Balasan,https://vt.tiktok.com/ZSPPuthFT/,Loka Wei,@Loka Wei: sbenernya loker banyak bgt di platform asal mau usaha aja dan ga nyerah dan menghargai proses,,,71,1,,2023,T29,TikTok,Indonesia
T165,Komentar Balasan,https://vt.tiktok.com/ZSPPuthFT/,Aporia1717,@Aporia1717: loker byk cm kerja ga sesuai expetasi jd mnding nganggur 😭,,,50,10,,2023,T29,TikTok,Indonesia
